model,CLO,CRUH,CRUSH,HUST,MATR1,MATR2,MIX,SNL
discharge_model,143.7331,76.2897,13527.6553,321.5733,329.0481,148.5821,1735.3196,266.6539
dummy,331.2758,239.8081,576.1726,419.5217,398.8229,510.6284,573.1156,466.1380
full_model,138.9457,98.0711,526.8979,335.0267,166.7985,1074.4001,332.1685,944.4740
gpr,203.6551,114.4373,140246444603.2479,54230.9697,153.9130,223.7908,595769336.3754,254.5108
pcr,197.1068,68.7659,557.3392,434.8146,123.1122,197.5088,376.8111,186.0309
plsr,176.0135,64.6230,533.8002,431.2634,103.6526,180.5339,383.4731,236.1880
rf,192.0838,82.2843,439.2723,374.3944,164.3123,231.4127,199.8695,524.7751
ridge,169.9931,65.5719,2268508.8499,54194.8625,115.7892,183.7997,372.0149,244.3086
variance_model,179.0192,118.3824,506.8378,398.1423,136.1296,211.2364,521.2020,360.3418
xgb,214.5909,119.3553,341.1997,394.7010,333.6645,798.8044,204.7945,547.2919
mlp,148.8035±0.0000,97.6600±0.0000,561.1003±0.0000,440.4353±0.0000,139.8188±0.0000,312.8503±0.0000,406.7105±0.0000,471.4404±0.0000
lstm,222.6967±0.0000,120.4489±0.0000,525.0753±0.0000,445.6887±0.0000,105.8686±0.0000,290.1655±0.0000,247.9591±0.0000,494.2307±0.0000
transformer,154.6262±0.0000,80.1458±0.0000,592.4867±0.0000,406.6988±0.0000,83.1587±0.0000,226.6437±0.0000,273.7350±0.0000,353.4602±0.0000
cnn,353.460174560,327.2959±0.0000,592.4866694,154.62620,76.8833±0.0000,192.1275±0.0000,,772.6318±0.0000
